article_url,comment_id,parent_id,comment_text,is_reply,is_below_threshold,upvotes,downvotes,article_has_sustainability_flag,comment_has_sustainability_flag,tags_series,has_sustainability_flag,positive,negative,bing_score,afinn_score
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4164888,NA,Save yourself 5 grand and get a 2021 - 2024 flexstay stumpy,FALSE,FALSE,121,2,FALSE,FALSE,Reviews,FALSE,1,0,1,5
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4164912,4164888,"I’ll second this. My 2021 flex-stay SJ is still going strong after 5 seasons. It’s light weight and ideal for long trail rides that may include a few sections of gnarly terrain. I’m on my 3rd enduro bike over the same period but the stumpy just keeps going. Recently upgraded the fox dps to a float x andnot only is it a bit more capable, it pedals better as well. I also have the mullet link* which makes it super versatile - great for riding flow trails. *it’s not well known but there is a mullet link available for the non-evo SJ",TRUE,FALSE,26,0,FALSE,FALSE,Reviews,FALSE,6,0,6,6
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4164932,4164888,"@bikingduker : I replaced my Izzo (cracked frame they wouldn't warranty) with a flex-stay SJ frame and moved all the parts over. I've got a beefed up Stumpy Evo for enduro/park and a Turbo Levo. The flex-stay SJ is the bike I reach for the most when I'm going on a ride (admittedly, I live in Northwest Arkansas, so the other two are a bit of overkill). It's a really underrated bike, imo.",TRUE,FALSE,11,0,FALSE,FALSE,Reviews,FALSE,0,2,-2,1
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4164955,4164888,"I'm still so confused by Specialized's decision to remerge the stumpy and evo. Both bikes were loved and instead of continuing down that path, they created a bike in the middle that does everything worse.",TRUE,FALSE,41,2,FALSE,FALSE,Reviews,FALSE,1,2,-1,-2
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4164985,4164888,Really? What kind of total build weights are you getting? I've seen high 20s at best.,TRUE,FALSE,1,1,FALSE,FALSE,Reviews,FALSE,0,0,0,0
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165017,4164888,"its what's most interesting to me these days - a lot of non-ebikes existed before and the new replacements only have better brakes, suspension. a used frame can be just as good, or better. Bikes havent magically evolved since 2020.. and in fact, one could get get a santacruz hightower 1 (2016/7?) and run it as a downcountry bike these days.",TRUE,FALSE,6,0,FALSE,FALSE,Reviews,FALSE,0,0,0,0
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165024,4164888,"@GlazedHam : you can get 28lbs pretty easily with carbon wheels and lighter tires. Mine is an XL with stock alloy wheels, butcher/eliminator tires, piggyback shock and its just over 30lbs",TRUE,FALSE,3,0,FALSE,FALSE,Reviews,FALSE,2,2,0,-1
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165027,4164888,Shameless plug mine is for sale right now! A few parts upgrades to make it more dh capable and weighs 29lbs no pedals.,TRUE,FALSE,5,2,FALSE,FALSE,Reviews,FALSE,1,1,0,1
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165053,4164888,"This was very trippy for me as I literally read the specs and first part of the review, and came down here to comment the exact same thing. My 2022 stumpy comp with slx drivetrain brakes fox performance suspension - perfect longcountry rig for big miles and some spicy chutes along the way. Did we reach peak bike in 2021?",TRUE,FALSE,14,0,FALSE,FALSE,Reviews,FALSE,1,0,1,3
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165063,4164888,"Overpaid for mine in 2022, and it's amazing. I'm sticking with it as long as I can. Currently aiming to run it to at least 2032.",TRUE,FALSE,5,0,FALSE,FALSE,Reviews,FALSE,1,1,0,4
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165072,4164888,I love my flex stay stumpy. I've got it set up mullet with the link and had the DPS tuned with extra compression and it's the perfect bike for most of what I ride. I got an ebike last season but still would always rather be on my stumpy. Someone should go to a Chinese carbon factory and replicate it with all the same kinematics and geo but eliminate the asymmetrical shock brace so we can have a alt when ours are clapped out. Call it the Dumpy,TRUE,FALSE,5,0,FALSE,FALSE,Reviews,FALSE,2,1,1,4
https://www.pinkbike.com/news/allied-fitz-review-the-xc-riders-trail-bike.html,4165101,4164888,I do miss my 21 Stumpy a bit. Replaced it with an Epic 8 EVO. Pedals a lot better than the Stumpy did.,TRUE,FALSE,1,1,FALSE,FALSE,Reviews,FALSE,0,1,-1,-2
